 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
64,,9260.510,449.384,0.576,119.652,2122.000,3064.000,47.093,107.529,1.065,0.939,0.949
65,,5527.711,468.828,0.316,99.025,2566.000,2882.000,110.594,81.334,1.252,0.799,0.903
66,,7809.620,384.202,0.665,112.428,104.000,3008.000,2.005,93.504,1.162,0.860,0.962
67,,6437.950,416.410,0.467,112.036,4809.000,3137.000,56.868,82.789,1.295,0.772,0.932
68,,2650.234,258.867,0.497,75.634,1192.000,2979.000,111.801,49.963,1.544,0.648,0.923
69,,6571.140,389.946,0.543,100.266,1707.000,3128.000,27.714,90.196,1.084,0.922,0.949
70,,13496.718,639.143,0.415,170.374,2226.000,3292.000,57.935,117.467,1.626,0.615,0.902
71,,5969.575,485.536,0.318,95.527,1981.000,3097.000,122.755,90.506,1.003,0.997,0.914
72,Mean,10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
73,SD,5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
74,Min,2046.459,249.470,0.251,65.461,104.000,13.000,2.005,49.667,1.003,0.601,0.852
75,Max,30499.937,815.133,0.879,211.924,4809.000,3292.000,174.846,186.624,1.663,0.997,0.986
